pid	graphType	setIndex	obsIndex	edgeAB.true	edgeAC.true	edgeBC.true	activations.A	activations.B	activations.C	explanation.node1	explanation.node2	explanation.nodes_active	explanation.cause	edgeAB.response	edgeAC.response	edgeBC.response	responseTime
4	pair	5	5	backward	none	none	False	False	True	B	A	False	True	backward	backward	forward	4402
4	pair	5	6	backward	none	none	False	False	True	B	A	False	True	backward	backward	forward	3147
4	pair	5	7	backward	none	none	True	True	False	A	B	True	False	backward	backward	forward	2895
4	pair	5	8	backward	none	none	True	False	False	B	C	False	False	backward	backward	forward	5572
4	pair	5	9	backward	none	none	True	False	True	A	C	True	False	backward	backward	forward	8697
5	common_cause	0	0	none	backward	backward	False	False	False	B	C	False	False	none	forward	backward	40418
5	common_cause	0	1	none	backward	backward	True	True	True	B	A	True	False	none	forward	backward	13085
5	common_cause	0	2	none	backward	backward	True	False	False	C	B	False	True	none	forward	backward	8913
5	common_cause	0	3	none	backward	backward	False	True	False	A	C	False	False	none	forward	backward	21462
5	common_cause	0	4	none	backward	backward	True	True	True	A	B	True	False	none	forward	backward	2520
5	common_cause	0	5	none	backward	backward	True	False	False	C	B	False	True	none	forward	backward	4742
5	common_cause	0	6	none	backward	backward	True	True	True	A	C	True	False	none	forward	backward	1818
5	common_cause	0	7	none	backward	backward	True	False	True	C	A	True	True	none	forward	backward	4178
5	common_cause	0	8	none	backward	backward	False	False	False	A	C	False	False	none	forward	backward	972
5	common_cause	0	9	none	backward	backward	False	False	False	C	B	False	True	none	forward	backward	1103
5	common_effect	1	0	forward	none	backward	False	False	False	B	C	False	False	forward	forward	none	30275
5	common_effect	1	1	forward	none	backward	True	True	True	B	A	True	False	forward	forward	none	2630
5	common_effect	1	2	forward	none	backward	False	False	False	A	C	False	False	forward	forward	none	2183
5	common_effect	1	3	forward	none	backward	False	False	False	B	C	False	False	forward	forward	none	1367
5	common_effect	1	4	forward	none	backward	False	False	False	A	C	False	False	forward	forward	none	1410
5	common_effect	1	5	forward	none	backward	True	True	False	B	A	True	False	forward	forward	none	2606
5	common_effect	1	6	forward	none	backward	True	False	False	B	C	False	False	forward	forward	none	2961
5	common_effect	1	7	forward	none	backward	True	False	False	B	C	False	False	forward	forward	none	2110
5	common_effect	1	8	forward	none	backward	True	True	False	B	A	True	False	forward	none	forward	13131
5	common_effect	1	9	forward	none	backward	True	True	True	C	A	True	False	forward	none	forward	10475
5	line	2	0	none	backward	forward	True	True	True	B	C	True	True	backward	none	forward	17659
5	line	2	1	none	backward	forward	False	False	False	B	A	False	True	backward	none	forward	2680
5	line	2	2	none	backward	forward	True	False	True	C	A	True	False	none	forward	backward	18312
5	line	2	3	none	backward	forward	False	False	True	B	A	False	False	none	backward	backward	16226
5	line	2	4	none	backward	forward	False	False	False	A	C	False	False	none	backward	backward	2350
5	line	2	5	none	backward	forward	True	True	True	B	A	True	False	none	backward	backward	884
5	line	2	6	none	backward	forward	True	True	True	C	A	True	True	none	backward	backward	666
5	line	2	7	none	backward	forward	False	False	False	A	B	False	False	none	backward	backward	1067
5	line	2	8	none	backward	forward	False	False	False	C	A	False	False	none	backward	backward	685
5	line	2	9	none	backward	forward	True	True	True	B	C	True	False	none	backward	backward	1082
5	pair	3	0	none	backward	none	False	True	False	A	C	False	False	backward	none	forward	23624
5	pair	3	1	none	backward	none	False	True	False	C	A	False	True	backward	none	forward	1401
5	pair	3	2	none	backward	none	True	True	True	B	A	True	False	backward	none	forward	1559
5	pair	3	3	none	backward	none	True	False	False	C	B	False	False	backward	none	forward	6742
5	pair	3	4	none	backward	none	False	False	False	B	A	False	False	backward	none	forward	1022
5	pair	3	5	none	backward	none	True	True	True	A	B	True	False	backward	none	forward	1667
5	pair	3	6	none	backward	none	True	True	False	A	B	True	False	backward	none	forward	1641
5	pair	3	7	none	backward	none	False	True	False	C	A	False	True	backward	none	forward	1862
5	pair	3	8	none	backward	none	False	False	False	B	C	False	False	backward	none	forward	817
5	pair	3	9	none	backward	none	True	False	True	A	C	True	False	none	backward	forward	20544
5	separate	4	0	none	none	none	False	True	False	C	A	False	False	none	backward	forward	14069
5	separate	4	1	none	none	none	False	True	True	B	C	True	False	none	backward	forward	6153
5	separate	4	2	none	none	none	False	True	False	C	A	False	False	none	backward	forward	1093
5	separate	4	3	none	none	none	True	False	True	C	A	True	False	backward	backward	none	24683
5	separate	4	4	none	none	none	False	False	False	A	B	False	False	backward	backward	none	1071
5	separate	4	5	none	none	none	True	True	False	A	B	True	False	backward	backward	none	5502
5	separate	4	6	none	none	none	False	True	False	A	C	False	False	backward	backward	none	3026
5	separate	4	7	none	none	none	False	True	True	C	B	True	False	none	backward	forward	8511
5	separate	4	8	none	none	none	False	False	True	A	B	False	False	none	backward	backward	5771
5	separate	4	9	none	none	none	False	True	True	B	C	True	False	none	backward	backward	1751
5	skip	5	0	forward	forward	forward	False	False	False	B	A	False	False	none	none	none	4367
5	skip	5	1	forward	forward	forward	True	True	True	A	C	True	True	none	forward	backward	4588
5	skip	5	2	forward	forward	forward	False	False	True	B	A	False	False	forward	backward	none	7805
5	skip	5	3	forward	forward	forward	False	True	True	C	B	True	False	backward	none	backward	7036
5	skip	5	4	forward	forward	forward	False	False	False	A	B	False	True	backward	none	backward	972
5	skip	5	5	forward	forward	forward	False	False	False	A	B	False	True	backward	none	backward	600
5	skip	5	6	forward	forward	forward	True	True	True	B	C	True	True	backward	none	backward	1207
5	skip	5	7	forward	forward	forward	True	True	True	A	C	True	True	backward	none	backward	550
5	skip	5	8	forward	forward	forward	True	True	True	C	B	True	False	backward	none	backward	529
5	skip	5	9	forward	forward	forward	True	True	True	A	C	True	True	backward	none	backward	596
7	line	0	0	backward	forward	none	True	True	True	C	B	True	False	none	none	none	52568
7	line	0	1	backward	forward	none	False	False	False	A	C	False	False	none	none	none	16341
7	line	0	2	backward	forward	none	False	False	False	C	B	False	False	none	none	none	9006
7	line	0	3	backward	forward	none	False	True	False	A	C	False	True	none	forward	none	99465
7	line	0	4	backward	forward	none	False	False	False	C	A	False	False	none	forward	none	11721
7	line	0	5	backward	forward	none	True	True	True	C	A	True	False	none	forward	none	5701
7	line	0	6	backward	forward	none	False	False	False	A	B	False	False	none	forward	none	6468
7	line	0	7	backward	forward	none	True	True	True	B	C	True	True	none	forward	forward	14620
7	line	0	8	backward	forward	none	False	False	False	B	C	False	True	none	forward	forward	9285
7	line	0	9	backward	forward	none	True	True	True	C	B	True	False	none	forward	forward	4316
7	common_cause	1	0	forward	forward	none	True	True	True	C	B	True	False	none	none	none	19579
7	common_cause	1	1	forward	forward	none	True	False	True	C	A	True	False	backward	none	none	16842
7	common_cause	1	2	forward	forward	none	False	False	False	C	B	False	False	none	none	none	7856
7	common_cause	1	3	forward	forward	none	True	True	True	A	B	True	True	forward	none	none	74259
7	common_cause	1	4	forward	forward	none	False	False	False	B	A	False	False	forward	none	none	5804
7	common_cause	1	5	forward	forward	none	True	True	True	B	C	True	False	forward	backward	none	21124
7	common_cause	1	6	forward	forward	none	True	False	True	A	C	True	True	forward	forward	none	7469
7	common_cause	1	7	forward	forward	none	True	False	True	C	A	True	False	forward	forward	none	6634
7	common_cause	1	8	forward	forward	none	False	False	False	B	C	False	False	forward	forward	none	11718
7	common_cause	1	9	forward	forward	none	False	False	False	A	C	False	True	forward	forward	none	3400
7	common_effect	2	0	forward	none	backward	True	True	False	A	B	True	True	forward	none	none	9339
7	common_effect	2	1	forward	none	backward	True	True	True	A	C	True	False	forward	none	none	8773
7	common_effect	2	2	forward	none	backward	True	True	False	B	A	True	False	forward	none	none	7488
7	common_effect	2	3	forward	none	backward	True	True	False	B	A	True	False	forward	none	none	8439
7	common_effect	2	4	forward	none	backward	True	True	True	A	B	True	True	forward	none	none	3170
7	common_effect	2	5	forward	none	backward	False	False	False	B	A	False	False	forward	none	none	3252
7	common_effect	2	6	forward	none	backward	True	True	False	B	A	True	False	forward	none	none	1584
7	common_effect	2	7	forward	none	backward	True	True	False	B	A	True	False	forward	none	none	3267
7	common_effect	2	8	forward	none	backward	False	False	False	A	C	False	False	forward	none	none	2968
7	common_effect	2	9	forward	none	backward	False	False	False	B	C	False	False	forward	none	none	2467
7	separate	3	0	none	none	none	True	True	False	B	A	True	False	none	none	none	4206
