condition	seed	graphType	obsIndex	edge	response_sample	response_max	p_none	p_forward	p_backward
both	4	separate	1000	AC	none	none	1.0	0.0	0.0
both	4	separate	1000	BC	none	none	1.0	0.0	0.0
both	4	skip	1000	AB	backward	backward	0.0	0.0	1.0
both	4	skip	1000	AC	backward	backward	0.0	0.0	1.0
both	4	skip	1000	BC	backward	backward	0.0	0.0	1.0
activations	4	common_cause	1000	AB	none	none	1.0	0.0	0.0
activations	4	common_cause	1000	AC	backward	backward	0.0	0.3012484181	0.6987515819
activations	4	common_cause	1000	BC	backward	backward	0.0	0.0689159754	0.9310840246
activations	4	common_effect	1000	AB	none	none	1.0	0.0	0.0
activations	4	common_effect	1000	AC	forward	forward	-0.0	1.0	0.0
activations	4	common_effect	1000	BC	forward	forward	-0.0	1.0	0.0
activations	4	line	1000	AB	backward	backward	0.0	0.0739781326	0.9260218674
activations	4	line	1000	AC	none	none	1.0	0.0	0.0
activations	4	line	1000	BC	backward	backward	0.0	0.1653091605	0.8346908395
activations	4	pair	1000	AB	none	none	1.0	0.0	0.0
activations	4	pair	1000	AC	backward	forward	0.0	0.9330187702	0.0669812298
activations	4	pair	1000	BC	none	none	1.0	0.0	0.0
activations	4	separate	1000	AB	none	none	1.0	0.0	0.0
activations	4	separate	1000	AC	none	none	1.0	0.0	0.0
activations	4	separate	1000	BC	none	none	1.0	0.0	0.0
activations	4	skip	1000	AB	backward	backward	0.0	0.0	1.0
activations	4	skip	1000	AC	backward	backward	0.0	0.0	1.0
activations	4	skip	1000	BC	forward	backward	0.0	0.2202300621	0.7797699379
explanations	4	common_cause	1000	AB	none	none	1.0	0.0	0.0
explanations	4	common_cause	1000	AC	backward	backward	0.0	0.0	1.0
explanations	4	common_cause	1000	BC	backward	backward	0.0	0.0	1.0
explanations	4	common_effect	1000	AB	none	none	1.0	0.0	0.0
explanations	4	common_effect	1000	AC	forward	forward	0.0	1.0	0.0
explanations	4	common_effect	1000	BC	forward	forward	0.0	1.0	0.0
explanations	4	line	1000	AB	backward	backward	0.0	0.0	1.0
explanations	4	line	1000	AC	none	none	1.0	0.0	0.0
explanations	4	line	1000	BC	backward	backward	0.0	0.0	1.0
explanations	4	pair	1000	AB	none	none	1.0	0.0	0.0
explanations	4	pair	1000	AC	forward	forward	0.0	1.0	0.0
explanations	4	pair	1000	BC	none	none	1.0	0.0	0.0
explanations	4	separate	1000	AB	none	none	1.0	0.0	0.0
explanations	4	separate	1000	AC	none	none	1.0	0.0	0.0
explanations	4	separate	1000	BC	none	none	1.0	0.0	0.0
explanations	4	skip	1000	AB	backward	backward	0.0	0.0	1.0
explanations	4	skip	1000	AC	backward	backward	0.0	0.0	1.0
explanations	4	skip	1000	BC	backward	backward	0.0	0.0	1.0
both	5	common_cause	1000	AB	none	none	1.0	0.0	0.0
both	5	common_cause	1000	AC	backward	backward	0.0	0.0	1.0
both	5	common_cause	1000	BC	backward	backward	0.0	0.0	1.0
both	5	common_effect	1000	AB	none	none	1.0	0.0	0.0
both	5	common_effect	1000	AC	forward	forward	0.0	1.0	0.0
both	5	common_effect	1000	BC	forward	forward	0.0	1.0	0.0
both	5	line	1000	AB	forward	forward	0.0	1.0	0.0
both	5	line	1000	AC	none	none	1.0	0.0	0.0
both	5	line	1000	BC	forward	forward	0.0	1.0	0.0
both	5	pair	1000	AB	backward	backward	0.0	0.0	1.0
both	5	pair	1000	AC	none	none	1.0	0.0	0.0
both	5	pair	1000	BC	none	none	1.0	0.0	0.0
both	5	separate	1000	AB	none	none	1.0	0.0	0.0
both	5	separate	1000	AC	none	none	1.0	0.0	0.0
both	5	separate	1000	BC	none	none	1.0	0.0	0.0
both	5	skip	1000	AB	forward	forward	0.0	1.0	0.0
both	5	skip	1000	AC	backward	backward	0.0	0.0	1.0
both	5	skip	1000	BC	backward	backward	0.0	0.0	1.0
activations	5	common_cause	1000	AB	none	none	1.0	0.0	0.0
activations	5	common_cause	1000	AC	forward	backward	-0.0	0.4065388437	0.5934611563
activations	5	common_cause	1000	BC	backward	backward	-0.0	0.1417513299	0.8582486701
activations	5	common_effect	1000	AB	none	none	1.0	0.0	0.0
activations	5	common_effect	1000	AC	forward	forward	-0.0	1.0	0.0
activations	5	common_effect	1000	BC	forward	forward	-0.0	1.0	0.0
activations	5	line	1000	AB	backward	backward	0.0	0.243154248	0.756845752
activations	5	line	1000	AC	none	none	1.0	0.0	0.0
activations	5	line	1000	BC	backward	forward	-0.0	0.8707778633	0.1292221367
activations	5	pair	1000	AB	backward	backward	0.0	0.258533413	0.741466587
activations	5	pair	1000	AC	none	none	1.0	0.0	0.0
activations	5	pair	1000	BC	none	none	1.0	0.0	0.0
activations	5	separate	1000	AB	none	none	1.0	0.0	0.0
activations	5	separate	1000	AC	none	none	1.0	0.0	0.0
activations	5	separate	1000	BC	none	none	1.0	0.0	0.0
activations	5	skip	1000	AB	forward	forward	-0.0	1.0	0.0
activations	5	skip	1000	AC	backward	backward	-0.0	0.2026704689	0.7973295311
activations	5	skip	1000	BC	backward	backward	0.0	0.0	1.0
explanations	5	common_cause	1000	AB	none	none	1.0	0.0	0.0
explanations	5	common_cause	1000	AC	backward	backward	0.0	0.0	1.0
explanations	5	common_cause	1000	BC	backward	backward	0.0	0.0	1.0
explanations	5	common_effect	1000	AB	none	none	1.0	0.0	0.0
explanations	5	common_effect	1000	AC	forward	forward	0.0	1.0	0.0
explanations	5	common_effect	1000	BC	forward	forward	0.0	1.0	0.0
explanations	5	line	1000	AB	forward	forward	0.0	1.0	0.0
explanations	5	line	1000	AC	none	none	1.0	0.0	0.0
explanations	5	line	1000	BC	forward	forward	0.0	1.0	0.0
explanations	5	pair	1000	AB	backward	backward	0.0	0.0	1.0
explanations	5	pair	1000	AC	none	none	1.0	0.0	0.0
explanations	5	pair	1000	BC	none	none	1.0	0.0	0.0
explanations	5	separate	1000	AB	none	none	1.0	0.0	0.0
explanations	5	separate	1000	AC	none	none	1.0	0.0	0.0
explanations	5	separate	1000	BC	none	none	1.0	0.0	0.0
explanations	5	skip	1000	AB	forward	forward	0.0	1.0	0.0
explanations	5	skip	1000	AC	backward	backward	0.0	0.0	1.0
explanations	5	skip	1000	BC	backward	backward	0.0	0.0	1.0
both	6	common_cause	1000	AB	backward	backward	0.0	0.0	1.0
both	6	common_cause	1000	AC	none	none	1.0	0.0	0.0
both	6	common_cause	1000	BC	forward	forward	0.0	1.0	0.0
both	6	common_effect	1000	AB	forward	forward	0.0	1.0	0.0
both	6	common_effect	1000	AC	none	none	1.0	0.0	0.0
both	6	common_effect	1000	BC	backward	backward	0.0	0.0	1.0
both	6	line	1000	AB	none	none	1.0	0.0	0.0
both	6	line	1000	AC	forward	forward	0.0	1.0	0.0
both	6	line	1000	BC	backward	backward	0.0	0.0	1.0
both	6	pair	1000	AB	none	none	1.0	0.0	0.0
both	6	pair	1000	AC	backward	backward	0.0	0.0	1.0
both	6	pair	1000	BC	none	none	1.0	0.0	0.0
both	6	separate	1000	AB	none	none	1.0	0.0	0.0
both	6	separate	1000	AC	none	none	1.0	0.0	0.0
both	6	separate	1000	BC	none	none	1.0	0.0	0.0
both	6	skip	1000	AB	backward	backward	0.0	0.0	1.0
both	6	skip	1000	AC	backward	backward	0.0	0.0	1.0
both	6	skip	1000	BC	backward	backward	0.0	0.0	1.0
activations	6	common_cause	1000	AB	backward	backward	0.0	0.3938558488	0.6061441512
activations	6	common_cause	1000	AC	none	none	1.0	0.0	0.0
activations	6	common_cause	1000	BC	backward	forward	0.0	0.7128790863	0.2871209137
activations	6	common_effect	1000	AB	forward	forward	-0.0	1.0	0.0
activations	6	common_effect	1000	AC	none	none	1.0	0.0	0.0
activations	6	common_effect	1000	BC	backward	backward	0.0	0.0	1.0
activations	6	line	1000	AB	none	none	1.0	0.0	0.0
activations	6	line	1000	AC	backward	backward	-0.0	0.328453834	0.671546166
activations	6	line	1000	BC	backward	backward	0.0	0.4054985605	0.5945014395
activations	6	pair	1000	AB	none	none	1.0	0.0	0.0
activations	6	pair	1000	AC	forward	forward	0.0	0.5524861878	0.4475138122
activations	6	pair	1000	BC	none	none	1.0	0.0	0.0
activations	6	separate	1000	AB	none	none	1.0	0.0	0.0
activations	6	separate	1000	AC	none	none	1.0	0.0	0.0
activations	6	separate	1000	BC	none	none	1.0	0.0	0.0
activations	6	skip	1000	AB	backward	backward	0.0	0.0	1.0
activations	6	skip	1000	AC	backward	backward	0.0	0.0	1.0
activations	6	skip	1000	BC	backward	backward	0.0	0.3961717288	0.6038282712
explanations	6	common_cause	1000	AB	backward	backward	0.0	0.0	1.0
explanations	6	common_cause	1000	AC	none	none	1.0	0.0	0.0
explanations	6	common_cause	1000	BC	forward	forward	0.0	1.0	0.0
explanations	6	common_effect	1000	AB	forward	forward	0.0	1.0	0.0
explanations	6	common_effect	1000	AC	none	none	1.0	0.0	0.0
explanations	6	common_effect	1000	BC	backward	backward	0.0	0.0	1.0
explanations	6	line	1000	AB	none	none	1.0	0.0	0.0
explanations	6	line	1000	AC	forward	forward	0.0	1.0	0.0
explanations	6	line	1000	BC	backward	backward	0.0	0.0	1.0
explanations	6	pair	1000	AB	none	none	1.0	0.0	0.0
explanations	6	pair	1000	AC	backward	backward	0.0	0.0	1.0
explanations	6	pair	1000	BC	none	none	1.0	0.0	0.0
explanations	6	separate	1000	AB	none	none	1.0	0.0	0.0
explanations	6	separate	1000	AC	none	none	1.0	0.0	0.0
explanations	6	separate	1000	BC	none	none	1.0	0.0	0.0
explanations	6	skip	1000	AB	backward	backward	0.0	0.0	1.0
explanations	6	skip	1000	AC	backward	backward	0.0	0.0	1.0
explanations	6	skip	1000	BC	backward	backward	0.0	0.0	1.0
both	7	common_cause	1000	AB	backward	backward	0.0	0.0	1.0
both	7	common_cause	1000	AC	none	none	1.0	0.0	0.0
both	7	common_cause	1000	BC	forward	forward	0.0	1.0	0.0
both	7	common_effect	1000	AB	none	none	1.0	0.0	0.0
both	7	common_effect	1000	AC	forward	forward	0.0	1.0	0.0
both	7	common_effect	1000	BC	forward	forward	0.0	1.0	0.0
both	7	line	1000	AB	backward	backward	0.0	0.0	1.0
both	7	line	1000	AC	forward	forward	0.0	1.0	0.0
both	7	line	1000	BC	none	none	1.0	0.0	0.0
both	7	pair	1000	AB	none	none	1.0	0.0	0.0
both	7	pair	1000	AC	none	none	1.0	0.0	0.0
