seed	graph_type	AB	AC	BC
58	common_cause	forward	forward	none
58	line	none	forward	backward
58	pair	none	none	backward
58	skip	backward	backward	backward
59	separate	none	none	none
59	common_effect	none	forward	forward
59	common_cause	backward	none	forward
59	line	backward	forward	none
59	pair	backward	none	none
59	skip	forward	forward	backward
59	separate	none	none	none
59	common_effect	none	forward	forward
59	common_cause	backward	none	forward
59	line	backward	forward	none
59	pair	backward	none	none
59	skip	forward	forward	backward
59	separate	none	none	none
59	common_effect	none	forward	forward
59	common_cause	backward	none	forward
59	line	backward	forward	none
59	pair	backward	none	none
59	skip	forward	forward	backward
60	separate	none	none	none
60	common_effect	backward	backward	none
60	common_cause	forward	forward	none
60	line	forward	backward	none
60	pair	forward	none	none
60	skip	backward	backward	backward
60	separate	none	none	none
60	common_effect	backward	backward	none
60	common_cause	forward	forward	none
60	line	forward	backward	none
60	pair	forward	none	none
60	skip	backward	backward	backward
60	separate	none	none	none
60	common_effect	backward	backward	none
60	common_cause	forward	forward	none
60	line	forward	backward	none
60	pair	forward	none	none
60	skip	backward	backward	backward
61	separate	none	none	none
61	common_effect	forward	none	backward
61	common_cause	backward	none	forward
61	line	backward	forward	none
61	pair	backward	none	none
61	skip	forward	backward	backward
61	separate	none	none	none
61	common_effect	forward	none	backward
61	common_cause	backward	none	forward
61	line	backward	forward	none
61	pair	backward	none	none
61	skip	forward	backward	backward
61	separate	none	none	none
61	common_effect	forward	none	backward
61	common_cause	backward	none	forward
61	line	backward	forward	none
61	pair	backward	none	none
61	skip	forward	backward	backward
62	separate	none	none	none
62	common_effect	forward	none	backward
62	common_cause	backward	none	forward
62	line	none	forward	backward
62	pair	backward	none	none
62	skip	backward	forward	forward
62	separate	none	none	none
62	common_effect	forward	none	backward
62	common_cause	backward	none	forward
62	line	none	forward	backward
62	pair	backward	none	none
62	skip	backward	forward	forward
62	separate	none	none	none
62	common_effect	forward	none	backward
62	common_cause	backward	none	forward
62	line	none	forward	backward
62	pair	backward	none	none
62	skip	backward	forward	forward
63	separate	none	none	none
63	common_effect	forward	none	backward
63	common_cause	backward	none	forward
63	line	backward	none	backward
63	pair	none	none	backward
63	skip	backward	backward	backward
63	separate	none	none	none
63	common_effect	forward	none	backward
63	common_cause	backward	none	forward
63	line	backward	none	backward
63	pair	none	none	backward
63	skip	backward	backward	backward
63	separate	none	none	none
63	common_effect	forward	none	backward
63	common_cause	backward	none	forward
63	line	backward	none	backward
63	pair	none	none	backward
63	skip	backward	backward	backward
64	separate	none	none	none
64	common_effect	forward	none	backward
64	common_cause	none	backward	backward
64	line	backward	none	backward
64	pair	none	forward	none
64	skip	backward	backward	forward
64	separate	none	none	none
64	common_effect	forward	none	backward
64	common_cause	none	backward	backward
64	line	backward	none	backward
64	pair	none	forward	none
64	skip	backward	backward	forward
64	separate	none	none	none
64	common_effect	forward	none	backward
64	common_cause	none	backward	backward
64	line	backward	none	backward
64	pair	none	forward	none
64	skip	backward	backward	forward
65	separate	none	none	none
65	common_effect	backward	backward	none
65	common_cause	forward	forward	none
65	line	none	forward	backward
65	pair	none	forward	none
65	skip	backward	backward	forward
65	separate	none	none	none
65	common_effect	backward	backward	none
65	common_cause	forward	forward	none
65	line	none	forward	backward
65	pair	none	forward	none
65	skip	backward	backward	forward
65	separate	none	none	none
65	common_effect	backward	backward	none
65	common_cause	forward	forward	none
65	line	none	forward	backward
65	pair	none	forward	none
65	skip	backward	backward	forward
66	separate	none	none	none
66	common_effect	none	forward	forward
66	common_cause	none	backward	backward
66	line	none	backward	forward
66	pair	backward	none	none
66	skip	forward	forward	backward
66	separate	none	none	none
66	common_effect	none	forward	forward
66	common_cause	none	backward	backward
66	line	none	backward	forward
66	pair	backward	none	none
66	skip	forward	forward	backward
66	separate	none	none	none
66	common_effect	none	forward	forward
66	common_cause	none	backward	backward
66	line	none	backward	forward
66	pair	backward	none	none
66	skip	forward	forward	backward
67	separate	none	none	none
67	common_effect	none	forward	forward
67	common_cause	backward	none	forward
67	line	none	forward	backward
67	pair	forward	none	none
67	skip	forward	backward	backward
67	separate	none	none	none
67	common_effect	none	forward	forward
67	common_cause	backward	none	forward
67	line	none	forward	backward
67	pair	forward	none	none
67	skip	forward	backward	backward
67	separate	none	none	none
67	common_effect	none	forward	forward
67	common_cause	backward	none	forward
67	line	none	forward	backward
67	pair	forward	none	none
67	skip	forward	backward	backward
68	separate	none	none	none
68	common_effect	forward	none	backward
68	common_cause	backward	none	forward
68	line	none	forward	backward
68	pair	none	none	backward
68	skip	backward	backward	forward
68	separate	none	none	none
68	common_effect	forward	none	backward
68	common_cause	backward	none	forward
68	line	none	forward	backward
68	pair	none	none	backward
68	skip	backward	backward	forward
68	separate	none	none	none
68	common_effect	forward	none	backward
68	common_cause	backward	none	forward
68	line	none	forward	backward
68	pair	none	none	backward
68	skip	backward	backward	forward
69	separate	none	none	none
69	common_effect	backward	backward	none
69	common_cause	backward	none	forward
69	line	backward	forward	none
69	pair	none	forward	none
69	skip	backward	forward	forward
69	separate	none	none	none
69	common_effect	backward	backward	none
69	common_cause	backward	none	forward
69	line	backward	forward	none
69	pair	none	forward	none
69	skip	backward	forward	forward
69	separate	none	none	none
69	common_effect	backward	backward	none
69	common_cause	backward	none	forward
69	line	backward	forward	none
69	pair	none	forward	none
69	skip	backward	forward	forward
70	separate	none	none	none
70	common_effect	forward	none	backward
70	common_cause	backward	none	forward
70	line	none	backward	forward
70	pair	backward	none	none
70	skip	forward	backward	backward
70	separate	none	none	none
70	common_effect	forward	none	backward
70	common_cause	backward	none	forward
70	line	none	backward	forward
70	pair	backward	none	none
70	skip	forward	backward	backward
70	separate	none	none	none
70	common_effect	forward	none	backward
70	common_cause	backward	none	forward
70	line	none	backward	forward
70	pair	backward	none	none
70	skip	forward	backward	backward
71	separate	none	none	none
71	common_effect	none	forward	forward
71	common_cause	forward	forward	none
71	line	forward	backward	none
71	pair	none	forward	none
71	skip	forward	forward	backward
71	separate	none	none	none
71	common_effect	none	forward	forward
71	common_cause	forward	forward	none
71	line	forward	backward	none
71	pair	none	forward	none
71	skip	forward	forward	backward
71	separate	none	none	none
71	common_effect	none	forward	forward
71	common_cause	forward	forward	none
71	line	forward	backward	none
71	pair	none	forward	none
71	skip	forward	forward	backward
72	separate	none	none	none
72	common_effect	none	forward	forward
72	common_cause	none	backward	backward
72	line	none	forward	backward
72	pair	forward	none	none
72	skip	forward	backward	backward
72	separate	none	none	none
72	common_effect	none	forward	forward
72	common_cause	none	backward	backward
72	line	none	forward	backward
72	pair	forward	none	none
72	skip	forward	backward	backward
72	separate	none	none	none
72	common_effect	none	forward	forward
72	common_cause	none	backward	backward
72	line	none	forward	backward
72	pair	forward	none	none
72	skip	forward	backward	backward
73	separate	none	none	none
73	common_effect	none	forward	forward
73	common_cause	backward	none	forward
73	line	backward	forward	none
73	pair	none	none	forward
73	skip	forward	forward	forward
73	separate	none	none	none
73	common_effect	none	forward	forward
73	common_cause	backward	none	forward
73	line	backward	forward	none
73	pair	none	none	forward
73	skip	forward	forward	forward
73	separate	none	none	none
73	common_effect	none	forward	forward
73	common_cause	backward	none	forward
73	line	backward	forward	none
73	pair	none	none	forward
73	skip	forward	forward	forward
74	separate	none	none	none
74	common_effect	backward	backward	none
74	common_cause	none	backward	backward
74	line	forward	backward	none
74	pair	none	forward	none
74	skip	backward	backward	backward
74	separate	none	none	none
74	common_effect	backward	backward	none
74	common_cause	none	backward	backward
74	line	forward	backward	none
74	pair	none	forward	none
74	skip	backward	backward	backward
74	separate	none	none	none
74	common_effect	backward	backward	none
74	common_cause	none	backward	backward
74	line	forward	backward	none
74	pair	none	forward	none
74	skip	backward	backward	backward
75	separate	none	none	none
75	common_effect	forward	none	backward
75	common_cause	forward	forward	none
75	line	none	backward	forward
75	pair	forward	none	none
75	skip	backward	backward	backward
75	separate	none	none	none
75	common_effect	forward	none	backward
75	common_cause	forward	forward	none
75	line	none	backward	forward
75	pair	forward	none	none
75	skip	backward	backward	backward
75	separate	none	none	none
75	common_effect	forward	none	backward
75	common_cause	forward	forward	none
75	line	none	backward	forward
75	pair	forward	none	none
75	skip	backward	backward	backward
76	separate	none	none	none
76	common_effect	forward	none	backward
76	common_cause	none	backward	backward
76	line	forward	backward	none
76	pair	none	none	backward
76	skip	forward	backward	backward
76	separate	none	none	none
76	common_effect	forward	none	backward
76	common_cause	none	backward	backward
76	line	forward	backward	none
76	pair	none	none	backward
76	skip	forward	backward	backward
76	separate	none	none	none
76	common_effect	forward	none	backward
76	common_cause	none	backward	backward
76	line	forward	backward	none
76	pair	none	none	backward
76	skip	forward	backward	backward
77	separate	none	none	none
77	common_effect	backward	backward	none
77	common_cause	none	backward	backward
77	line	none	forward	backward
77	pair	none	forward	none
77	skip	backward	forward	forward
77	separate	none	none	none
77	common_effect	backward	backward	none
77	common_cause	none	backward	backward
77	line	none	forward	backward
77	pair	none	forward	none
77	skip	backward	forward	forward
77	separate	none	none	none
77	common_effect	backward	backward	none
77	common_cause	none	backward	backward
77	line	none	forward	backward
77	pair	none	forward	none
77	skip	backward	forward	forward
78	separate	none	none	none
78	common_effect	none	forward	forward
78	common_cause	backward	none	forward
78	line	none	backward	forward
78	pair	none	none	backward
78	skip	forward	forward	forward
78	separate	none	none	none
78	common_effect	none	forward	forward
78	common_cause	backward	none	forward
78	line	none	backward	forward
78	pair	none	none	backward
78	skip	forward	forward	forward
78	separate	none	none	none
78	common_effect	none	forward	forward
78	common_cause	backward	none	forward
78	line	none	backward	forward
78	pair	none	none	backward
78	skip	forward	forward	forward
79	separate	none	none	none
79	common_effect	backward	backward	none
79	common_cause	none	backward	backward
79	line	backward	none	backward
79	pair	forward	none	none
79	skip	backward	backward	backward
79	separate	none	none	none
79	common_effect	backward	backward	none
79	common_cause	none	backward	backward
79	line	backward	none	backward
79	pair	forward	none	none
79	skip	backward	backward	backward
79	separate	none	none	none
79	common_effect	backward	backward	none
79	common_cause	none	backward	backward
79	line	backward	none	backward
79	pair	forward	none	none
79	skip	backward	backward	backward
80	separate	none	none	none
80	common_effect	none	forward	forward
80	common_cause	none	backward	backward
80	line	forward	none	forward
80	pair	forward	none	none
80	skip	backward	forward	forward
80	separate	none	none	none
80	common_effect	none	forward	forward
80	common_cause	none	backward	backward
80	line	forward	none	forward
80	pair	forward	none	none
80	skip	backward	forward	forward
80	separate	none	none	none
80	common_effect	none	forward	forward
80	common_cause	none	backward	backward
80	line	forward	none	forward
80	pair	forward	none	none
80	skip	backward	forward	forward
81	separate	none	none	none
81	common_effect	backward	backward	none
81	common_cause	backward	none	forward
81	line	forward	none	forward
81	pair	none	none	forward
81	skip	forward	forward	backward
81	separate	none	none	none
81	common_effect	backward	backward	none
81	common_cause	backward	none	forward
81	line	forward	none	forward
81	pair	none	none	forward
81	skip	forward	forward	backward
81	separate	none	none	none
81	common_effect	backward	backward	none
81	common_cause	backward	none	forward
81	line	forward	none	forward
81	pair	none	none	forward
81	skip	forward	forward	backward
82	separate	none	none	none
82	common_effect	none	forward	forward
82	common_cause	none	backward	backward
82	line	none	forward	backward
82	pair	none	none	backward
82	skip	backward	backward	backward
82	separate	none	none	none
82	common_effect	none	forward	forward
82	common_cause	none	backward	backward
82	line	none	forward	backward
82	pair	none	none	backward
82	skip	backward	backward	backward
82	separate	none	none	none
82	common_effect	none	forward	forward
82	common_cause	none	backward	backward
82	line	none	forward	backward
82	pair	none	none	backward
82	skip	backward	backward	backward
83	separate	none	none	none
83	common_effect	none	forward	forward
83	common_cause	forward	forward	none
83	line	none	forward	backward
83	pair	forward	none	none
83	skip	backward	backward	forward
83	separate	none	none	none
83	common_effect	none	forward	forward
83	common_cause	forward	forward	none
83	line	none	forward	backward
83	pair	forward	none	none
83	skip	backward	backward	forward
83	separate	none	none	none
83	common_effect	none	forward	forward
83	common_cause	forward	forward	none
83	line	none	forward	backward
83	pair	forward	none	none
83	skip	backward	backward	forward
84	separate	none	none	none
84	common_effect	forward	none	backward
84	common_cause	none	backward	backward
84	line	none	backward	forward
84	pair	none	none	backward
84	skip	forward	forward	backward
84	separate	none	none	none
84	common_effect	forward	none	backward
84	common_cause	none	backward	backward
84	line	none	backward	forward
84	pair	none	none	backward
84	skip	forward	forward	backward
84	separate	none	none	none
84	common_effect	forward	none	backward
84	common_cause	none	backward	backward
84	line	none	backward	forward
84	pair	none	none	backward
84	skip	forward	forward	backward
85	separate	none	none	none
85	common_effect	none	forward	forward
85	common_cause	forward	forward	none
85	line	backward	none	backward
85	pair	none	backward	none
85	skip	forward	forward	backward
85	separate	none	none	none
85	common_effect	none	forward	forward
85	common_cause	forward	forward	none
85	line	backward	none	backward
85	pair	none	backward	none
85	skip	forward	forward	backward
85	separate	none	none	none
85	common_effect	none	forward	forward
85	common_cause	forward	forward	none
85	line	backward	none	backward
85	pair	none	backward	none
85	skip	forward	forward	backward
86	separate	none	none	none
86	common_effect	none	forward	forward
86	common_cause	backward	none	forward
86	line	none	backward	forward
86	pair	none	none	forward
86	skip	forward	forward	forward
86	separate	none	none	none
86	common_effect	none	forward	forward
86	common_cause	backward	none	forward
86	line	none	backward	forward
86	pair	none	none	forward
86	skip	forward	forward	forward
86	separate	none	none	none
86	common_effect	none	forward	forward
86	common_cause	backward	none	forward
86	line	none	backward	forward
86	pair	none	none	forward
86	skip	forward	forward	forward
87	separate	none	none	none
87	common_effect	forward	none	backward
87	common_cause	backward	none	forward
87	line	forward	none	forward
87	pair	backward	none	none
87	skip	forward	forward	backward
87	separate	none	none	none
87	common_effect	forward	none	backward
87	common_cause	backward	none	forward
87	line	forward	none	forward
87	pair	backward	none	none
87	skip	forward	forward	backward
87	separate	none	none	none
87	common_effect	forward	none	backward
87	common_cause	backward	none	forward
87	line	forward	none	forward
87	pair	backward	none	none
87	skip	forward	forward	backward
88	separate	none	none	none
88	common_effect	forward	none	backward
88	common_cause	forward	forward	none
88	line	backward	none	backward
88	pair	backward	none	none
88	skip	backward	forward	forward
88	separate	none	none	none
88	common_effect	forward	none	backward
88	common_cause	forward	forward	none
88	line	backward	none	backward
88	pair	backward	none	none
88	skip	backward	forward	forward
88	separate	none	none	none
88	common_effect	forward	none	backward
88	common_cause	forward	forward	none
88	line	backward	none	backward
88	pair	backward	none	none
88	skip	backward	forward	forward
89	separate	none	none	none
89	common_effect	none	forward	forward
89	common_cause	backward	none	forward
89	line	none	backward	forward
89	pair	backward	none	none
89	skip	forward	forward	forward
89	separate	none	none	none
89	common_effect	none	forward	forward
89	common_cause	backward	none	forward
89	line	none	backward	forward
89	pair	backward	none	none
89	skip	forward	forward	forward
89	separate	none	none	none
89	common_effect	none	forward	forward
89	common_cause	backward	none	forward
89	line	none	backward	forward
89	pair	backward	none	none
89	skip	forward	forward	forward
90	separate	none	none	none
90	common_effect	forward	none	backward
90	common_cause	backward	none	forward
90	line	forward	none	forward
90	pair	backward	none	none
90	skip	backward	backward	forward
90	separate	none	none	none
90	common_effect	forward	none	backward
90	common_cause	backward	none	forward
90	line	forward	none	forward
90	pair	backward	none	none
90	skip	backward	backward	forward
90	separate	none	none	none
90	common_effect	forward	none	backward
90	common_cause	backward	none	forward
90	line	forward	none	forward
90	pair	backward	none	none
90	skip	backward	backward	forward
91	separate	none	none	none
91	common_effect	none	forward	forward
91	common_cause	forward	forward	none
91	line	forward	backward	none
91	pair	none	none	backward
91	skip	forward	forward	forward
91	separate	none	none	none
91	common_effect	none	forward	forward
91	common_cause	forward	forward	none
91	line	forward	backward	none
91	pair	none	none	backward
91	skip	forward	forward	forward
91	separate	none	none	none
91	common_effect	none	forward	forward
91	common_cause	forward	forward	none
91	line	forward	backward	none
91	pair	none	none	backward
91	skip	forward	forward	forward
92	separate	none	none	none
92	common_effect	forward	none	backward
92	common_cause	backward	none	forward
92	line	backward	none	backward
92	pair	forward	none	none
92	skip	forward	backward	backward
92	separate	none	none	none
92	common_effect	forward	none	backward
92	common_cause	backward	none	forward
92	line	backward	none	backward
92	pair	forward	none	none
92	skip	forward	backward	backward
92	separate	none	none	none
92	common_effect	forward	none	backward
92	common_cause	backward	none	forward
92	line	backward	none	backward
92	pair	forward	none	none
92	skip	forward	backward	backward
93	separate	none	none	none
93	common_effect	none	forward	forward
93	common_cause	none	backward	backward
93	line	none	forward	backward
93	pair	none	forward	none
93	skip	backward	backward	forward
93	separate	none	none	none
93	common_effect	none	forward	forward
93	common_cause	none	backward	backward
93	line	none	forward	backward
93	pair	none	forward	none
93	skip	backward	backward	forward
93	separate	none	none	none
93	common_effect	none	forward	forward
93	common_cause	none	backward	backward
93	line	none	forward	backward
93	pair	none	forward	none
93	skip	backward	backward	forward
94	separate	none	none	none
94	common_effect	backward	backward	none
94	common_cause	forward	forward	none
94	line	backward	none	backward
94	pair	backward	none	none
94	skip	backward	backward	forward
94	separate	none	none	none
94	common_effect	backward	backward	none
94	common_cause	forward	forward	none
94	line	backward	none	backward
94	pair	backward	none	none
94	skip	backward	backward	forward
94	separate	none	none	none
94	common_effect	backward	backward	none
94	common_cause	forward	forward	none
94	line	backward	none	backward
94	pair	backward	none	none
94	skip	backward	backward	forward
95	separate	none	none	none
95	common_effect	forward	none	backward
95	common_cause	backward	none	forward
95	line	forward	none	forward
95	pair	none	none	backward
95	skip	forward	backward	backward
95	separate	none	none	none
95	common_effect	forward	none	backward
95	common_cause	backward	none	forward
95	line	forward	none	forward
95	pair	none	none	backward
95	skip	forward	backward	backward
95	separate	none	none	none
95	common_effect	forward	none	backward
95	common_cause	backward	none	forward
95	line	forward	none	forward
95	pair	none	none	backward
95	skip	forward	backward	backward
96	separate	none	none	none
96	common_effect	none	forward	forward
96	common_cause	none	backward	backward
96	line	backward	forward	none
96	pair	backward	none	none
96	skip	backward	backward	forward
96	separate	none	none	none
96	common_effect	none	forward	forward
96	common_cause	none	backward	backward
96	line	backward	forward	none
96	pair	backward	none	none
96	skip	backward	backward	forward
96	separate	none	none	none
96	common_effect	none	forward	forward
96	common_cause	none	backward	backward
96	line	backward	forward	none
96	pair	backward	none	none
96	skip	backward	backward	forward
97	separate	none	none	none
97	common_effect	backward	backward	none
97	common_cause	none	backward	backward
97	line	forward	none	forward
97	pair	none	backward	none
97	skip	forward	forward	backward
97	separate	none	none	none
97	common_effect	backward	backward	none
97	common_cause	none	backward	backward
97	line	forward	none	forward
97	pair	none	backward	none
97	skip	forward	forward	backward
97	separate	none	none	none
97	common_effect	backward	backward	none
97	common_cause	none	backward	backward
97	line	forward	none	forward
97	pair	none	backward	none
97	skip	forward	forward	backward
98	separate	none	none	none
98	common_effect	forward	none	backward
98	common_cause	none	backward	backward
98	line	backward	forward	none
98	pair	none	none	backward
98	skip	forward	forward	backward
98	separate	none	none	none
98	common_effect	forward	none	backward
98	common_cause	none	backward	backward
98	line	backward	forward	none
98	pair	none	none	backward
98	skip	forward	forward	backward
98	separate	none	none	none
98	common_effect	forward	none	backward
98	common_cause	none	backward	backward
98	line	backward	forward	none
98	pair	none	none	backward
98	skip	forward	forward	backward
99	separate	none	none	none
99	common_effect	none	forward	forward
99	common_cause	backward	none	forward
99	line	backward	forward	none
99	pair	none	forward	none
99	skip	backward	backward	forward
99	separate	none	none	none
99	common_effect	none	forward	forward
99	common_cause	backward	none	forward
99	line	backward	forward	none
99	pair	none	forward	none
99	skip	backward	backward	forward
99	separate	none	none	none
99	common_effect	none	forward	forward
99	common_cause	backward	none	forward
99	line	backward	forward	none
99	pair	none	forward	none
99	skip	backward	backward	forward
