seed	graph_type	AB	AC	BC
19	pair	none	none	backward
19	skip	forward	backward	backward
20	separate	none	none	none
20	common_effect	none	forward	forward
20	common_cause	forward	forward	none
20	line	none	backward	forward
20	pair	none	backward	none
20	skip	backward	backward	backward
20	separate	none	none	none
20	common_effect	none	forward	forward
20	common_cause	forward	forward	none
20	line	none	backward	forward
20	pair	none	backward	none
20	skip	backward	backward	backward
20	separate	none	none	none
20	common_effect	none	forward	forward
20	common_cause	forward	forward	none
20	line	none	backward	forward
20	pair	none	backward	none
20	skip	backward	backward	backward
21	separate	none	none	none
21	common_effect	backward	backward	none
21	common_cause	none	backward	backward
21	line	forward	backward	none
21	pair	none	forward	none
21	skip	forward	backward	backward
21	separate	none	none	none
21	common_effect	backward	backward	none
21	common_cause	none	backward	backward
21	line	forward	backward	none
21	pair	none	forward	none
21	skip	forward	backward	backward
21	separate	none	none	none
21	common_effect	backward	backward	none
21	common_cause	none	backward	backward
21	line	forward	backward	none
21	pair	none	forward	none
21	skip	forward	backward	backward
22	separate	none	none	none
22	common_effect	none	forward	forward
22	common_cause	backward	none	forward
22	line	none	forward	backward
22	pair	none	none	forward
22	skip	backward	backward	backward
22	separate	none	none	none
22	common_effect	none	forward	forward
22	common_cause	backward	none	forward
22	line	none	forward	backward
22	pair	none	none	forward
22	skip	backward	backward	backward
22	separate	none	none	none
22	common_effect	none	forward	forward
22	common_cause	backward	none	forward
22	line	none	forward	backward
22	pair	none	none	forward
22	skip	backward	backward	backward
23	separate	none	none	none
23	common_effect	backward	backward	none
23	common_cause	none	backward	backward
23	line	forward	backward	none
23	pair	none	forward	none
23	skip	backward	backward	forward
23	separate	none	none	none
23	common_effect	backward	backward	none
23	common_cause	none	backward	backward
23	line	forward	backward	none
23	pair	none	forward	none
23	skip	backward	backward	forward
23	separate	none	none	none
23	common_effect	backward	backward	none
23	common_cause	none	backward	backward
23	line	forward	backward	none
23	pair	none	forward	none
23	skip	backward	backward	forward
24	separate	none	none	none
